time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
19416,5698,41008,39408,19936,6880,32752,18112,13451,32384
19416,4727,33680,35376,19584,8331,32768,24171,17915,32384
19416,5283,65520,65248,55424,62789,32784,21248,62320,32416
19416,6080,18784,17456,20832,11861,32768,23547,9643,32373
19416,4903,42192,42512,19280,6816,32768,27952,16325,32384
19416,5636,22096,22784,29888,19056,32752,20453,17131,32384
19416,5761,65520,65312,50896,34928,32768,33627,33120,32400
19416,5364,40704,41824,18976,6331,32768,16400,13227,32389
19416,5624,14512,16816,28336,18949,32752,29296,24917,32389
19416,5151,65520,65232,59248,62608,32800,39627,53189,32411
19416,5432,24000,24384,23600,15387,32752,24592,16853,32384
19416,4941,20368,18416,23344,19877,32768,23355,16384,32389
19416,4785,37168,34800,19024,5883,32752,18224,10011,32384
19416,5018,29664,28144,20016,5872,32752,17856,9296,32389
19417,5296,16848,18032,27952,18192,32784,32160,26587,32379
19417,6004,65520,65360,47696,55563,32784,30741,38128,32411
19417,5389,17280,16320,19664,12245,32752,22165,19483,32389
19417,4868,35424,33648,25520,6277,32768,18443,14720,32395
19417,5182,65520,65232,65408,57376,32784,44080,62219,32400
19417,5868,16032,18240,26160,18411,32800,27717,20283,32389
19417,3838,44160,42480,13312,6368,32768,15904,12128,32389
19418,5503,15872,16512,22000,13035,32752,22891,16165,32389
19418,5156,59088,58736,39408,16555,32768,46133,15365,32384
19418,4836,39248,40960,20640,6069,32752,15627,13189,32384
19418,6094,45280,46320,11280,9989,32768,16651,6421,32379
19418,5526,9312,11344,24544,15579,32768,32192,22992,32395
19418,5991,65520,65024,38592,38485,32768,39637,21339,32384
19418,5412,39344,41840,14688,6800,32752,17019,10949,32384
19418,4735,9552,7440,27504,16773,32768,24005,21723,32389
19418,5265,20928,18528,27280,13589,32752,28661,19525,32389
19418,4704,40128,39648,19344,6640,32768,15403,13429,32384
19418,4712,43680,45600,20672,6523,32752,22619,15195,32389
19418,4891,35952,37184,16592,6027,32752,15339,7648,32379
19418,5184,65520,65104,45248,52213,32784,39120,35675,32400
19418,5313,34992,35232,15232,6789,32768,23659,10816,32389
19418,5122,17424,16304,20640,8688,32752,25952,16688,32395
19418,5693,41952,40992,12784,7003,32752,15216,15915,32389
19418,3681,65520,65344,58592,39072,32752,29083,55349,32400
19418,5027,35024,36272,17344,5840,32768,21675,14117,32379
19418,4907,65520,65376,47664,37835,32768,40336,34640,32395
19418,4936,38144,38096,20896,5760,32752,17221,12048,32389
19419,4858,30704,30384,21136,6128,32752,21339,13563,32384
19419,5413,34208,35696,21296,8037,32768,17157,15952,32389
19419,5118,44352,43200,16960,6336,32768,18779,14053,32395
19419,5578,65520,64240,43072,26165,32800,42747,53659,32411
19419,5169,11776,11664,24704,15904,32752,22619,17744,32384
19419,5057,14480,16944,21616,8421,32768,19083,14197,32395
19419,5515,25488,24800,17792,6043,32752,17781,13563,32384
19420,5232,65520,65328,51392,46107,32768,19627,21483,32384
19420,5600,65520,64832,62640,43701,32784,45755,40955,32395
19420,5651,43552,41072,10864,5509,32768,15328,11344,32384
19420,4714,64016,65312,43712,43664,32784,19611,54213,32405
19420,4680,63056,62896,34512,24656,32768,24379,25328,32395
19420,5385,52320,52304,12784,6432,32752,26699,10069,32395
19420,5034,45472,46240,18896,5573,32768,16800,13296,32384
19420,5619,65520,65200,43760,34864,32768,15712,47632,32400
19420,5516,31248,33408,17280,5488,32784,20832,17589,32395
19420,5644,41536,39952,17952,5920,32752,18693,14544,32384
19420,4563,37840,36160,49280,41445,32768,17120,58475,32411
19420,4837,38736,39968,28208,5621,32784,22309,14688,32389
19420,5159,65520,65296,26736,14117,32768,22341,21808,32389
19420,4785,65520,63904,45088,40384,32784,25088,46875,32400
19420,5572,65520,65248,57024,45141,32768,19781,25157,32395
19420,5719,44272,42752,19472,6720,32768,16043,7296,32395
19420,5285,45296,43008,25824,4181,32752,27616,18229,32384
19420,4942,31264,29440,23168,6437,32768,18320,11493,32384
19420,4490,25520,26960,20000,8037,32752,21083,11376,32395
19420,4737,42960,42208,26608,6811,32768,29152,18757,32395
19421,5508,65520,65264,49856,54853,32768,18379,50400,32400
19421,5076,35344,37264,19040,5605,32752,16341,9115,32395
19421,4858,64464,64832,30912,6411,32768,16491,33472,32395
19421,6177,41360,40048,19152,7717,32752,27787,17237,32384
19421,5310,32208,30848,14480,5883,32768,15739,13035,32389
19421,4966,13488,15376,13856,7019,32752,23088,21973,32389
19422,5489,34576,32208,13456,5525,32768,18443,6939,32379
19422,5169,47648,48704,22016,15627,32752,25328,20064,32384
19422,4825,39440,40896,17856,6939,32752,16181,12608,32395
19422,5328,13840,13712,37664,23952,32784,33077,29861,32400
19422,5015,17424,18432,28064,15467,32768,30341,19275,32384
19422,5450,65520,65200,47840,30635,32768,15189,48656,32395
19422,5540,10448,10336,24784,15515,32768,28912,19013,32384
19422,5636,41840,42768,20976,5968,32752,18539,9968,32389
19422,5167,20160,21152,24064,13120,32784,29536,19456,32384
19422,4846,32624,34608,19632,7157,32752,22779,10640,32384
19422,4984,35552,34992,16224,7216,32752,21152,13205,32384
