instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
751,KM1713,2.5,52032,44464,50080,5000,0.855,0.962,1.904,2.034,0,0,-54605,-55753
751,KM1713,50,52880,42880,48672,5000,0.811,0.92,1.91,2.04,0,0,-58121,-59203
751,KM1713,97.5,53552,41360,47264,5000,0.772,0.883,1.915,2.047,0,0,-61192,-62357
