instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
751,KM1906_towfish,2.5,44688,28240,25980,5000,0.632,0.581,1.904,2.034,0,0,-56846,-64915
751,KM1906_towfish,50,45264,27168,24568,5000,0.6,0.543,1.91,2.04,0,0,-59286,-67771
751,KM1906_towfish,97.5,45808,26176,23104,5000,0.571,0.504,1.915,2.047,0,0,-61546,-70665
