time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
34598,36476,23280,21824,31888,28427,29840,28053,26021,32683
34598,36351,42272,43840,11104,15179,10400,20752,12064,32699
34598,36801,48144,46016,29424,29120,27712,32347,27637,32704
34598,36777,44112,44992,16496,18085,15056,24859,13717,32693
34598,36898,62368,61168,59856,54101,57504,16549,55232,32709
34598,35998,54624,53968,45600,46304,43744,24213,45765,32699
34598,36366,18080,17072,24656,23488,22944,23787,22512,32704
34598,36752,12000,13344,23184,24544,22336,20075,21360,32699
34598,36879,30224,27744,28160,25525,26752,19120,23877,32699
34598,36261,18128,19088,28800,27605,27072,25019,26971,32699
34598,36771,49232,47216,21360,19920,18944,33456,18635,32693
34598,36138,17760,19344,26032,27611,24832,20864,24363,32693
34598,36626,14736,12832,34256,31947,32912,27552,26715,32693
34598,35583,43280,44688,13504,18629,13456,24400,13536,32699
34598,37276,39360,40240,20032,17899,18960,31200,16011,32688
34598,38118,15296,13504,18032,20293,15840,19552,17947,32688
34598,36949,10144,9760,28960,27248,26816,18917,25237,32693
34599,36267,21360,23056,26720,26101,25472,20640,27259,32693
34599,36752,36880,37408,19152,9301,16368,28139,17205,32693
34599,36440,46176,46528,22352,20443,19792,28720,13707,32693
34599,35917,44448,46928,22096,22816,20896,28917,18981,32699
34599,37298,37888,36032,29888,19328,27152,15573,26144,32693
34599,36706,43168,44848,14384,18229,12672,23579,11861,32709
34599,35435,45216,45136,18560,21685,19104,33472,16757,32688
34599,36727,46880,46304,21424,17051,17264,27771,24171,32693
34599,35383,18224,16784,46848,43723,44848,31093,36565,32683
34600,36710,44864,44848,17344,12560,15440,22149,14053,32699
34600,37300,44400,45712,32272,32315,30640,39355,25616,32709
34600,37311,10336,9408,32640,29259,30272,28043,30229,32693
34600,37099,33984,33536,10384,14795,11312,32629,14571,32688
34600,37723,16464,16528,21920,18539,20176,19739,23152,32704
34600,36799,46224,45056,17600,14171,15776,23856,14741,32693
34600,37270,38480,36624,24960,26869,23264,17936,17792,32709
34600,36496,32272,29840,30944,27483,28592,32939,29808,32699
34600,37016,45120,44992,15136,17184,14848,23371,13211,32704
34600,36758,46016,44320,24944,14283,24208,42448,24405,32688
34600,37065,43840,46144,20000,19333,20944,29152,21008,32688
34600,37018,37120,39408,30976,28315,28160,29877,31061,32709
34600,36020,13168,13776,28800,18016,27024,17104,24971,32699
34600,37031,45488,44208,19232,30059,19072,23685,13701,32699
34600,934,45376,46256,21376,22853,20256,32304,16469,32704
34600,36109,44064,45296,15168,20496,14560,25829,12363,32693
34600,36680,17040,17840,38624,30640,36032,16512,45685,32699
34600,37298,46032,44960,17248,17637,15632,23424,10896,32699
34600,37403,44928,45408,16608,17579,14112,24533,12709,32693
34600,36252,50768,51392,36496,31979,34640,46619,32208,32688
