instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
751,SCOPE_19,2.5,47360,44048,43040,5000,0.915,0.864,1.904,2.034,705.6,2124,-46125,-53290
751,SCOPE_19,50,48576,43264,40944,5000,0.876,0.799,1.91,2.04,705.6,2124,-49516,-58151
751,SCOPE_19,97.5,49104,42832,39664,5000,0.858,0.764,1.915,2.047,705.6,2124,-51202,-60852
