quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,cruise,instrument
97.5,37116,17712,17568,5000,0.477206595538312,0.473326867119302,1.63,1.627,0,0,-42787,-42820,Thompson_6,740
2.5,30112,20320,16080,5000,0.674814027630181,0.534006376195537,1.64,1.637,0,0,-29064,-33213,Thompson_7,740
50,31104,17488,14064,5000,0.562242798353909,0.452160493827161,1.635,1.632,0,0,-33367,-36698,Thompson_7,740
97.5,31952,13984,11920,5000,0.437656484727091,0.373059589384076,1.63,1.627,0,0,-38098,-40066,Thompson_7,740
2.5,44896,20980,20996,5000,0.467302209550962,0.467658588738418,1.64,1.637,0,0,-52649,-52499,Thompson_8,740
50,45552,18960,18640,5000,0.41622760800843,0.409202669476642,1.635,1.632,0,0,-55518,-55701,Thompson_8,740
97.5,45904,17036,16304,5000,0.37112234227954,0.355176019518996,1.63,1.627,0,0,-57788,-58382,Thompson_8,740
2.5,58832,34160,35072,5000,0.580636388360076,0.596138156105521,1.64,1.637,0,0,-62324,-61236,Thompson_9,740
50,59520,29568,30576,5000,0.496774193548387,0.513709677419355,1.635,1.632,0,0,-67747,-66561,Thompson_9,740
97.5,59968,26368,28160,5000,0.439701173959445,0.469583778014941,1.63,1.627,0,0,-71380,-69408,Thompson_9,740
