instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
740,KOK1806,2.5,52480,39888,42304,5000,0.76,0.806,1.64,1.637,0,0,-46179,-43606
740,KOK1806,50,53408,37136,41120,5000,0.695,0.77,1.635,1.632,0,0,-50186,-46042
740,KOK1806,97.5,54400,34296,40304,5000,0.63,0.741,1.63,1.627,0,0,-54376,-48205
