instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
751,SCOPE_Falkor2,2.5,53648,46096,51968,5000,0.859,0.969,1.904,2.034,0,0,-56050,-57152
751,SCOPE_Falkor2,50,54224,44816,50976,5000,0.826,0.94,1.91,2.04,0,0,-58752,-59641
751,SCOPE_Falkor2,97.5,54736,43680,49808,5000,0.798,0.91,1.915,2.047,0,0,-61139,-62237
