instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
740,TN396_740,2.5,48760,41000,39712,15000,0.943,0.917,1.64,1.637,-5000,-5000,-38966,-40108
740,TN396_740,50,49600,39312,37824,15000,0.893,0.863,1.635,1.632,-5000,-5000,-41784,-43123
740,TN396_740,97.5,50144,37376,35632,15000,0.845,0.81,1.63,1.627,-5000,-5000,-44359,-45952
