instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
751,Tokyo_2,2.5,46016,18960,19152,5000,0.412,0.416,1.904,2.034,0,0,-68654,-74445
751,Tokyo_2,50,46731,17040,17280,5000,0.365,0.37,1.91,2.04,0,0,-72216,-78051
751,Tokyo_2,97.5,47141,16128,15744,5000,0.342,0.334,1.915,2.047,0,0,-74147,-80754
