instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
740,HOT-294,2.5,52896,32016,37664,5000,0.605,0.712,1.64,1.637,0,0,-54733,-48927
740,HOT-294,50,53480,30624,36032,5000,0.573,0.674,1.635,1.632,0,0,-56816,-51247
740,HOT-294,97.5,53888,28992,34576,5000,0.538,0.642,1.63,1.627,0,0,-58845,-53100
