time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
14350,0,45808,43776,41280,38651,32768,32421,33269,32373
14350,0,18240,19552,35984,21893,32752,45120,11451,32352
14351,0,52752,50544,44864,47461,32768,22688,63648,32384
14352,0,21616,24080,19776,2496,32752,29835,10240,32352
14352,0,51424,50320,56736,51467,32768,35248,63925,32379
14352,0,36720,34656,49472,45707,32752,20757,54411,32368
14352,0,51200,51168,44560,45253,32752,19157,25845,32368
14352,0,39936,38768,35808,32672,32752,15211,25013,32352
14353,0,30560,28480,44960,28427,32752,16096,43205,32373
14353,0,12032,10144,39008,27755,32768,48133,14960,32352
14354,0,10880,11376,39328,29696,32752,49125,15200,32352
14354,0,26656,28464,45632,35056,32752,32715,21339,32357
14354,0,32688,31296,45248,32400,32752,15936,47477,32368
14354,0,23552,22400,30064,4373,32720,15093,14411,32357
14355,0,27712,25440,45216,32704,32752,15125,47083,32373
14356,0,52080,51440,49376,50405,32736,18277,28341,32368
14356,0,17888,17664,36272,24949,32768,45776,10485,32363
14356,0,29008,29600,31152,7376,32752,36645,10544,32357
14356,0,34384,35584,57312,53445,32768,57963,29323,32363
14356,0,24272,24784,23264,2779,32752,30304,7403,32357
14357,0,41760,40912,51552,41963,32736,18603,41877,32363
14358,0,10624,12896,47632,42251,32752,16341,54208,32363
14358,0,49360,49472,41712,40720,32736,18075,52928,32363
14358,0,20016,22480,49696,46597,32736,16395,47221,32373
14358,0,44288,46352,44768,36544,32752,33237,42523,32363
14358,0,17232,17072,51632,46736,32768,34379,15616,32352
14359,0,46896,45648,40160,36101,32752,30421,34784,32363
14359,0,30816,31152,38720,15003,32752,15781,30155,32363
14360,0,25600,23968,22416,3803,32768,30032,6325,32352
14360,0,38144,40304,35776,14725,32736,19568,27845,32357
14360,0,27168,26080,20688,4885,32752,26096,7995,32352
14360,0,52800,51504,42480,48064,32768,20064,41088,32368
14362,0,27808,25840,55248,44107,32752,31125,64000,32368
14362,0,26432,24128,22416,4053,32752,30043,7771,32347
14362,0,26144,24496,27216,6021,32752,32752,5035,32347
14362,0,52688,52720,46432,47061,32768,25344,63856,32373
14364,0,23344,25824,24416,2933,32752,32112,8464,32357
14364,0,45840,43808,37280,19803,32752,26555,36005,32363
14364,0,39712,38736,38512,31600,32752,16027,32304,32363
14365,0,44560,44480,32992,21440,32752,17461,32171,32363
14366,0,32256,34480,30112,4101,32752,15456,25664,32357
14366,0,26624,25264,53024,53723,32752,20944,25781,32373
14366,0,18304,17456,35808,24219,32768,45739,11296,32357
14368,0,44352,43072,37040,23061,32736,19659,30864,32363
