instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
740,Thompson_6,2.5,34848,14912,18340,5000,0.428,0.526,1.64,1.637,0,0,-42239,-38706
740,Thompson_6,50,35568,12400,16008,5000,0.349,0.45,1.635,1.632,0,0,-45754,-42039
740,Thompson_6,97.5,36784,11024,13728,5000,0.3,0.373,1.63,1.627,0,0,-48934,-46120
