time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
20801,4812,35680,35216,15472,0,12944,16144,9557,32629
20801,4891,26784,24704,13440,0,11664,17845,11024,32624
20802,4082,42432,43360,25424,3243,23776,36064,26277,32640
20802,4455,41584,41152,23776,2176,22768,19147,12784,32629
20802,4751,24048,26480,23360,1888,22096,24133,17595,32624
20802,4449,10144,11808,28352,3877,26272,28485,20437,32640
20802,4901,27232,26176,20784,245,19488,21104,12736,32629
20802,5325,50272,47984,34832,10395,33568,41125,12080,32624
20802,4568,29648,28272,18352,0,17360,22341,12747,32629
20802,4914,36912,38032,20416,139,19280,16672,15872,32624
20802,4411,14640,12864,17536,155,15808,20277,18699,32635
20802,4269,33120,34512,50032,25355,47088,24379,33072,32635
20802,4035,29328,31808,11712,0,5184,16640,13296,32624
20802,4746,51088,52032,21264,2421,20208,30416,6267,32629
20802,5090,52272,52160,25568,5093,22688,33045,8837,32629
20802,5124,23904,23456,13712,549,12768,15189,9083,32629
20802,4653,13104,11488,28512,5083,26224,30389,22752,32629
20802,4796,24352,22320,16656,0,14448,18779,18619,32640
20802,4578,19104,18176,18144,0,15696,18720,11083,32624
20802,4775,13136,12016,30992,3808,28512,32864,27995,32629
20802,4196,46928,45136,21056,17205,18208,16160,6133,32624
20803,4825,6464,4736,20464,325,18336,22603,17941,32635
20803,5183,50112,52288,26464,5819,25568,35616,10795,32640
20803,4222,20016,18112,24720,1573,23088,24837,20987,32635
20803,4320,26032,26480,20976,0,19104,15083,12597,32619
20803,5541,53296,52464,23040,2384,20240,34357,12560,32624
20803,4444,52128,53616,36448,24043,33888,15600,49787,32640
20804,4541,61296,62608,55744,47499,53344,41899,62245,32651
20804,4801,32224,31632,22480,949,21264,27061,19307,32619
20804,4917,50064,49376,36960,17296,34240,16123,26917,32635
20804,4922,28384,27616,17856,64,15952,18123,13691,32629
20804,4494,53872,55168,20624,3547,19216,34885,12805,32635
20804,4759,26336,26496,18944,800,17808,21893,12891,32624
20804,4008,10480,9920,15712,128,14144,22080,12896,32635
20804,4884,60672,62832,58448,38640,55648,29216,17307,32640
20804,4194,35376,34128,23712,2459,22704,20875,17867,32629
20804,4156,34864,33760,15008,0,13056,19984,16667,32629
20804,4724,17968,18528,23584,3056,21872,27488,21195,32635
20804,5174,22320,20704,20992,91,18192,20667,12560,32629
20804,4582,32656,33888,40960,23077,37888,32053,41968,32629
20804,5167,14976,13840,20208,1664,17984,21979,10992,32629
20804,4582,25696,27344,20112,213,18352,23264,12096,32629
20804,4674,46576,45040,42176,15819,39824,27973,12123,32635
20804,4912,16352,18800,25408,2731,23584,21173,21152,32624
20804,4365,37584,37008,10080,43,10208,19648,12805,32624
20804,3982,40432,38208,22512,0,20624,26032,19077,32640
20804,4591,31072,33168,20704,309,19920,25376,20715,32629
20805,5177,14112,16368,18464,123,16160,23083,18448,32629
20805,4936,38480,36736,13536,0,11680,17723,6843,32629
20805,4099,51440,51936,19568,1963,18432,26096,10171,32629
20805,4692,27632,26736,11872,112,10224,17525,11968,32640
20805,5464,38320,37616,19424,0,16912,16976,9968,32624
20805,4336,15488,13376,30800,1381,28064,29915,22117,32635
20806,4612,61248,61056,27872,8501,24896,43115,18512,32645
20806,4613,24688,22528,22480,2811,20944,23275,17568,32624
20806,4601,17824,15872,21184,485,19376,23392,15339,32635
20806,4627,23888,24128,42736,21131,39952,52587,25189,32635
20806,4710,11712,12336,25616,4411,23536,29509,22085,32629
20806,4668,54176,53920,25552,6928,23216,41963,14576,32624
20806,4504,61328,62768,43056,20229,39488,38096,19797,32629
20806,4658,38176,37440,11296,0,10448,19040,11733,32629
20806,5101,9536,11088,26368,4059,24384,27931,22704,32635
20806,4478,19504,17040,18928,411,16736,22731,18037,32624
20806,4969,18576,16144,28000,2491,26256,27659,17195,32640
20806,4563,36656,34624,12272,352,10640,17243,7328,32624
20806,4744,12608,11888,16848,0,14576,17040,12741,32624
20806,4974,61024,63024,43632,28363,41232,15259,50880,32645
20806,4383,15184,16048,21600,368,19952,21296,13200,32624
20806,4789,25504,23696,20880,5,18208,16256,17440,32635
20806,4933,38144,36032,20704,0,19088,17019,9707,32629
20806,4436,16880,19152,35904,13835,33824,25883,36085,32629
20806,3775,20352,20016,25264,795,23808,21403,15381,32629
20806,4385,27216,24816,21824,176,21216,24981,16693,32624
20806,4307,35040,33920,16416,960,14144,16523,10091,32629
20807,4539,21168,20880,18064,0,14720,17045,13888,32619
20807,4486,17392,17104,21552,688,20624,20224,16443,32624
20807,4253,36864,35008,15456,0,13552,24741,20373,32624
20807,4460,23888,22752,18512,0,15472,21045,16880,32635
20807,4745,25760,25872,46016,25659,44064,24912,37728,32656
20807,4761,21104,20880,20768,0,18672,21515,16651,32629
20808,4767,12944,15408,26848,1285,24672,22235,16395,32624
20808,4629,51728,53344,35744,11317,32016,52336,24480,32635
20808,5104,55472,55984,24992,4139,23264,39483,15813,32624
20808,4139,42608,43456,21248,17931,21312,44939,19787,32624
20808,4851,36528,35104,16560,741,15280,19797,11200,32624
20808,4464,12912,12304,21536,731,19392,23392,20469,32640
20808,5156,52304,52144,20464,2059,19136,28800,10608,32629
20808,4955,9552,11216,21056,0,20256,24272,19115,32640
20808,5108,22720,22208,24800,4219,23984,25888,15717,32624
20808,4096,28272,30080,22992,1717,21312,24411,15397,32624
20808,4717,36528,35344,20288,0,18800,15760,10560,32624
20808,4320,47712,46032,36048,12485,34032,40613,12432,32629
20808,5367,28736,30704,18240,496,16560,17840,9979,32619
