instrument,cruise,quantile,beads.fsc.small,beads.D1,beads.D2,width,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2
740,MGL1704,2.5,52960,30912,36272,5000,0.584,0.685,1.64,1.637,0,0,-55942,-50424
740,MGL1704,50,53840,28304,33760,5000,0.526,0.627,1.635,1.632,0,0,-59724,-54107
740,MGL1704,97.5,54528,25664,31028,5000,0.471,0.569,1.63,1.627,0,0,-63217,-57689
