time,pulse_width,D1,D2,fsc_small,fsc_perp,fsc_big,pe,chl_small,chl_big
10410,10126,17536,19536,48720,32880,32704,18320,15600,32347
10410,10313,7568,8192,30800,9808,32704,20027,19371,32341
10410,9995,65248,65520,52976,46720,32736,34464,49019,32357
10410,9503,46160,44240,58848,40619,32720,15024,63739,32363
10410,10306,36832,35024,32704,22027,32720,30187,19691,32347
10410,9563,64480,65520,58128,46187,32720,16331,47301,32368
10410,10281,64992,65520,45808,33499,32736,28128,41824,32357
10410,8576,4624,3264,37792,22421,32720,32907,25723,32357
10410,9225,16896,17360,30032,9792,32688,23973,17899,32347
10410,9042,65280,65520,61488,47099,32720,20123,41824,32373
10410,10195,65248,65520,52304,46784,32704,16224,40944,32357
10411,9600,42944,42320,16304,7669,32704,16560,6592,32341
10411,8914,8016,6896,35504,21403,32704,31301,21941,32352
10411,9243,64112,65520,48096,36800,32720,18523,35883,32368
10411,9845,48032,46816,34432,15861,32704,15253,16315,32347
10411,8215,64256,65520,44384,23552,32720,15525,38763,32352
10411,8929,35664,36944,23984,5440,32704,16709,8373,32341
10411,9745,4208,4128,31744,18208,32704,24341,17312,32347
10412,10113,64608,62976,43904,31568,32720,35083,42032,32357
10412,8305,44400,45296,60768,41877,32736,22597,65520,32373
10412,9831,65328,65520,60896,51056,32736,21520,23568,32352
10412,9846,64864,65520,50208,39403,32720,24944,45232,32363
10412,8727,23872,25872,15888,7856,32704,17765,13552,32347
10412,8744,65328,63664,57152,51131,32736,15867,16176,32347
10412,9569,48048,48912,22720,13547,32720,29653,8768,32347
10412,8640,56000,55120,49584,36043,32720,17093,42933,32363
10412,8947,47840,46560,16688,5680,32704,19520,6619,32347
10412,9363,65184,65520,64976,43381,32720,20267,55552,32363
10412,8340,65264,65520,49504,31147,32720,29397,45483,32368
10412,9008,65296,65520,65520,51184,32720,15035,8933,32341
10412,9804,65296,65520,65520,56917,32720,18752,21963,32347
10412,8918,42112,43280,29776,12779,32704,19248,13408,32347
10412,8733,64592,65520,35904,28101,32704,15099,33733,32357
10412,8733,35248,37360,36304,23173,32704,15392,9067,32341
10412,9048,43392,45200,29728,19904,32720,22469,17867,32347
